,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_macro_f1,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.9991117715835571,0.6112185686653772,0.3735881386813524,0.6112185686653772,0.18967587034813926,0.4637336559381973,101.1808,5.11,0.326,1.0,129,,,,,,,
1,0.9577081799507141,0.6112185686653772,0.45646212936551545,0.6112185686653772,0.19360518999073217,0.46771618537832327,100.5519,5.142,0.328,2.0,258,,,,,,,
2,1.0090802907943726,0.5841392649903289,0.5218735136506326,0.5841392649903289,0.2940022481762252,0.5476403397862869,102.5569,5.041,0.322,3.0,387,,,,,,,
3,,,,,,,,,,3.88,500,0.8931,1.2248062015503876e-05,,,,,
4,1.1463494300842285,0.5938104448742747,0.5339199246617843,0.5938104448742747,0.31823385050833985,0.5498184654162838,102.7186,5.033,0.321,4.0,516,,,,,,,
5,1.3127130270004272,0.5512572533849129,0.5383083895219629,0.5512572533849129,0.33736872566734977,0.5394551811204177,100.818,5.128,0.327,5.0,645,,,,,,,
6,1.4603437185287476,0.574468085106383,0.5144467774801147,0.574468085106383,0.2988240947395102,0.5328132863120888,102.6014,5.039,0.322,6.0,774,,,,,,,
7,1.6098803281784058,0.5589941972920697,0.544244330550899,0.5589941972920697,0.34790779435187136,0.5494318239382925,102.2217,5.058,0.323,7.0,903,,,,,,,
8,,,,,,,,,,7.75,1000,0.2999,4.4961240310077525e-06,,,,,
9,1.7019035816192627,0.5609284332688588,0.539245283827174,0.5609284332688588,0.3370742687439603,0.5478739641801703,99.428,5.2,0.332,8.0,1032,,,,,,,
10,1.8104275465011597,0.5493230174081238,0.5454310684821234,0.5493230174081238,0.3499376501694894,0.5438224852016822,101.1712,5.11,0.326,9.0,1161,,,,,,,
11,1.8425129652023315,0.5647969052224371,0.5489684524582891,0.5647969052224371,0.3671575878165404,0.5522710715172984,101.0693,5.115,0.327,10.0,1290,,,,,,,
12,,,,,,,,,,10.0,1290,,,14090.3741,1.465,0.092,683556156702720.0,0.4892349952875182
